a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
abseil-cpp 20260526.0-2.1
acl 2.4.0-1.1
ada 3.4.4-1.1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1.1
alsa-lib 1.2.16.1-1.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
ananicy-cpp 1.2.0-1.1
aom 3.14.1-1.1
appstream 1.1.5-1.1
aquamarine 0.14.0-1.1
archlinux-keyring 1:20260727-1
at-spi2-core 2.60.6-1.1
attr 2.6.0-1.1
audit 4.2.1-1.1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1.1
babl 0.1.126-1.1
bash 5.3.15-2
binutils 2.47-2
bison 3.8.2-8.1
blas 3.12.1-2.1
bluez-libs 5.87-2.1
boost-libs 1.91.0-2.1
bpf 7.1.5-1
breeze-icons 6.28.0-1.1
brotli 1.2.0-1.1
bubblewrap 0.11.2-1.1
bzip2 1.0.8-6.1
c-ares 1.34.8-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.126-1.1
ca-certificates-utils 20240618-1
cachyos-ananicy-rules 1:1.1.47-1
cairo 1.18.4-1.1
cdparanoia 10.2-10.1
chromaprint 1.6.1-1.1
clang 22.1.8-2
cmark-gfm 0.29.0.gfm.13-2.1
compiler-rt 22.1.8-1.1
coreutils 9.11-2.1
cpio 2.15-3.1
cpptrace 1.0.4-2.1
cryptsetup 2.8.7-1.1
dav1d 1.5.4-1.1
db5.3 5.3.28-7.1
dbus 1.16.2-1.1
dbus-broker 37-3.1
dbus-broker-units 37-3.1
dbus-units 37-3.1
dconf 0.49.0-1.1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
double-conversion 3.4.0-1.1
duktape 2.7.0-7.1
e2fsprogs 1.47.4-1.1
elfutils 0.195-1
exiv2 0.28.8-2.1
exo 4.20.0-2.1
expat 2.8.2-1.1
faac 2.0-1.1
faad2 2.11.2-1.2
fakeroot 1:1.37.2-3.1
fcft 3.3.3-1.1
ffmpeg 2:8.1.2-11.1
fftw 3.3.11-1.1
file 5.48-1.1
filesystem 2025.10.12-1
findutils 4.11.0-1.1
flac 1.5.0-1.2
flex 2.6.4-6.1
fluidsynth 2.5.6-1.1
fmt 12.2.0-1.1
fontconfig 2:2.18.2-1.1
freeglut 3.8.0-1.1
freetype2 2.14.3-1.2
fribidi 1.0.16-2.1
fuse-common 3.18.2-1.1
fuse3 3.18.2-1.1
gawk 5.4.1-1.1
gc 8.2.12-1.1
gcc 16.1.1+r595+g171d15ac6959-1
gcc-libs 16.1.1+r595+g171d15ac6959-1
gdb 17.2-1.1
gdb-common 17.2-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.7-1.1
gegl 0.4.70-2.1
gettext 1.0-2.1
giflib 6.1.3-2.1
girara 2026.07.18-1.1
glib-networking 1:2.80.1-1.1
glib2 2.88.3-1.1
glib2-devel 2.88.3-1.1
glibc 2.44+r3+g0b05bc142249-1
glslang 1:1.4.357.0-1.1
glu 9.0.3-3.1
glycin 2.1.5-2.1
gmp 6.3.0-3.1
gnulib-l10n 20241231-1
gnupg 2.4.9-2.1
gnutls 3.8.13-2.1
gobject-introspection-runtime 1.86.0-2.1
gperftools 2.18.1-1.1
gpgme 2.1.2-1.1
gpgmepp 2.1.0-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.15-1
grep 3.12-2.1
groff 1.24.1-1.1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1.1
gssdp 1.6.6-1.1
gst-plugins-bad-libs 1.28.5-4.1
gst-plugins-base 1.28.5-4.1
gst-plugins-base-libs 1.28.5-4.1
gst-plugins-ugly 1.28.5-4.1
gstreamer 1.28.5-4.1
gtest 1.17.0-2.1
gtk-update-icon-cache 1:4.22.4-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1.1
guile 3.0.11-1.1
gumbo-parser 0.13.2-1.1
gupnp 1:1.6.10-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 14.3.0-1.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
hwdata 0.410-1
hwloc 2.14.0-1.1
hyprcursor 0.1.13-7.1
hyprgraphics 0.5.1-4.1
hyprland-guiutils 0.2.2-2.1
hyprlang 0.6.8-5.1
hyprtoolkit 0.5.4-4.1
hyprutils 0.14.0-1.1
hyprwayland-scanner 0.4.6-1.1
hyprwire 0.3.1-3.1
iana-etc 20260530-1
icu 78.3-1.1
imagemagick 7.1.2.29-1.1
imath 3.2.2-6.1
imlib2 1.12.6-2.1
iniparser 4.2.6-2.1
inxi 3.3.41.1-1
iproute2 7.1.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
jansson 2.15.0-1.1
jasper 4.2.9-1.1
jbig2dec 0.20-2.1
jbigkit 2.1-8.1
jemalloc 1:5.3.1-3.1
jq 1.8.2-1.1
json-c 0.19-1.1
json-glib 1.10.8-1.1
karchive 6.28.0-1.1
karchive5 5.116.0-3.1
kauth5 5.116.0-2.1
kbd 2.10.0-1.1
kcodecs 6.28.0-1.1
kcodecs5 5.116.0-2.5
kcolorscheme 6.28.0-1.1
kconfig 6.28.0-1.1
kconfig5 5.116.0-2.1
kconfigwidgets 6.28.0-1.1
kconfigwidgets5 5.116.0-3.1
kcoreaddons 6.28.0-1.1
kcoreaddons5 5.116.0-2.1
keyutils 1.6.3-4.1
kguiaddons 6.28.0-1.1
kguiaddons5 5.116.0-2.1
ki18n 6.28.0-1.1
ki18n5 5.116.0-2.1
kiconthemes 6.28.0-1.1
kiconthemes5 5.116.0-2.1
kitty-shell-integration 0.48.2-1.1
kitty-terminfo 0.48.2-1.1
kmod 34.2-1
krb5 1.22.2-1.1
kwidgetsaddons 6.28.0-1.1
kwidgetsaddons5 5.116.0-2.1
l-smash 2.14.5-4.1
lame 4.0-1.1
lapack 3.12.1-2.1
lcms2 2.19.1-1.1
leancrypto 1.8.0-1.1
lensfun 1:0.3.4-6.1
leptonica 1.87.0-1.1
less 1:704-1.1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.2-1
lib32-gcc-libs 16.1.1+r595+g171d15ac6959-1
lib32-glibc 2.44+r3+g0b05bc142249-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.7.1-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libpciaccess 0.19-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 3:26.1.6-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.4-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-systemd 261.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-mesa-implicit-layers 3:26.1.6-1
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib-ng 2.3.3-2
lib32-zlib-ng-compat 2.3.3-2
lib32-zstd 1.5.7-2
libadwaita 1:1.9.2-1.1
libarchive 3.8.9-1.1
libasan 16.1.1+r595+g171d15ac6959-1
libass 0.17.5-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatomic 16.1.1+r595+g171d15ac6959-1
libavc1394 0.5.4-7.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libblake3 1.8.4-1.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libcaca 0.99.beta20-7.1
libcap 2.78-1.1
libcap-ng 0.9.3-1.1
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-2.1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6.3
libdatrie 0.2.14-1.1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.1-1.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdisplay-info 0.3.0-1.1
libdovi 3.4.0-1.1
libdrm 2.4.134-1.1
libdv 1.0.0-12.1
libdvdnav 7.0.0-1.1
libdvdread 7.1.1-1.1
libdwarf 1:2.3.2-1.1
libebur128 1.2.6-2.1
libedit 20260512_3.1-1.1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.13-2.1
libexif 0.6.26-1.1
libfdk-aac 2.0.3-2.1
libffi 3.7.1-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libfyaml 0.9.6-2.1
libgcc 16.1.1+r595+g171d15ac6959-1
libgcrypt 1.12.2-1.1
libgexiv2 0.14.6-2.1
libgfortran 16.1.1+r595+g171d15ac6959-1
libgirepository 1.86.0-2.1
libgit2 1:1.9.6-1.1
libglvnd 1.7.0-3.1
libgme 0.6.5-1.1
libgomp 16.1.1+r595+g171d15ac6959-1
libgpg-error 1.61-1.1
libgtop 2.41.3-2.1
libgudev 238-3.1
libheif 1.23.1-1.1
libhwasan 16.1.1+r595+g171d15ac6959-1
libice 1.1.2-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libinih 62-2.1
libinput 1.31.3-1.1
libisl 0.28-1.1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1.1
libksba 1.8.0-1.1
liblc3 1.1.3-2.1
libldac 2.0.2.6-1.1
libldap 2.6.13-1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
liblsan 16.1.1+r595+g171d15ac6959-1
libltc 1.3.2-2.1
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmd 1.2.0-1.1
libmicrodns 0.2.0-2.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.4.1-1.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmupdf 1.28.0-1
libmypaint 1.6.1-2.1
libmysofa 1.3.4-1.1
libnautilus-extension 50.2.2-1
libnetfilter_conntrack 1.1.1-1.1
libnfnetlink 1.0.2-2.1
libnftnl 1.3.1-1.1
libnghttp2 1.70.0-1.1
libnghttp3 1.18.0-1.1
libngtcp2 1.25.0-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnotify 0.8.8-1.1
libnsbmp 0.1.7-2.1
libnsgif 1.0.0-2.1
libnsl 2.0.1-2.1
libobjc 16.1.1+r595+g171d15ac6959-1
libogg 1.3.6-1.1
libopenmpt 0.8.7-1.1
libp11-kit 0.26.4-1.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpgm 5.3.128-4.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.8-1.1
libplacebo 7.360.1-6.1
libpng 1.6.58-2.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libquadmath 16.1.1+r595+g171d15ac6959-1
libraqm 0.11.0-1.1
libraw 0.22.2-1.1
libraw1394 2.1.2-4.1
librsvg 2:2.62.3-1.1
librsync 1:2.3.4-2.1
librustls 0.15.3-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libsixel 1.10.5-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.22-1.1
libsoup3 3.6.6-2
libsoxr 0.1.3-5.1
libspiro 1:20240903-1.2
libsrtp 1:2.8.0-1
libssh 0.12.2-1.1
libssh2 1.11.1-7.1
libstdc++ 16.1.1+r595+g171d15ac6959-1
libstemmer 3.1.1-1.1
libsynctex 2026.0-2.1
libsysprof-capture 50.0-4.1
libtasn1 4.21.0-1.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.2-1.1
libtirpc 1.3.7-1.1
libtool 2.6.2-3
libtsan 16.1.1+r595+g171d15ac6959-1
libubsan 16.1.1+r595+g171d15ac6959-1
libunibreak 7.0-1.1
libunistring 1.4.2-1.1
libunwind 1.8.2-1.1
liburing 2.15-1.1
libusb 1.0.30-1.1
libutf8proc 2.11.3-1.1
libuv 1.52.1-1
libva 2.24.1-1.1
libvdpau 1.5-4.1
libverto 0.3.2-6.1
libvorbis 1.3.7-4.1
libvpl 2.17.0-1.1
libvpx 1.16.0-3.1
libvterm 0.3.3-2.1
libwacom 2.19.1-1
libwebp 1.6.0-2.1
libwireplumber 0.5.15-1.1
libwmf 0.2.15-1.1
libx11 1.8.13-1.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-2.1
libxext 1.3.7-1.1
libxfce4ui 4.20.2-1.1
libxfce4util 4.20.1-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.8-1.1
libxft 2.3.9-1.2
libxi 1.8.3-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.2-1.1
libxkbcommon-x11 1.13.2-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.3-1.1
libxmlb 0.3.29-1.1
libxmu 1.3.1-1.1
libxpm 3.5.19-1.1
libxpresent 1.0.2-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lilv 0.28.0-1
