7zip 26.02-1.1
amd-ucode 1:20260622-1
awww 0.12.1-1.1
base 3-3
base-devel 1-2
bat 0.26.1-2.1
btop 1.4.7-1.1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-2
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cliphist 1:0.7.0-2.1
curl 8.21.0-1.1
direnv 2.37.1-1.1
dosfstools 4.2-5.1
dunst 1.13.2-1.1
expac 10-12.2
eza 0.23.5-2.1
fastfetch 2.66.0-1.1
ffmpegthumbnailer 2.3.0-1.1
file-roller 44.7-1.1
firefox 153.0.1-1
fuzzel 1.14.1-1.1
fzf 0.74.1-1.1
gimp 3.2.4-2.1
git 2.55.0-1.1
github-cli 2.97.0-1.1
go 2:1.26.5-2
gpu-screen-recorder 5.15.3-1.1
grim 1.5.0-2.1
gst-libav 1.28.5-4.1
gst-plugins-bad 1.28.5-4.1
gst-plugins-good 1.28.5-4.1
hyprland 0.56.1-3.1
hyprpicker 0.4.7-2.1
imv 5.0.1-2.1
kitty 0.48.2-1.1
lazygit 0.63.1-1.1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-radeon 3:26.1.6-1
libgsf 1.14.58-1.1
libnvme 1.16.2-1.1
linux-cachyos 7.1.5-1
linux-cachyos-headers 7.1.5-1
linux-firmware-amdgpu 1:20260622-1
linux-firmware-realtek 1:20260622-1
linux-firmware-whence 1:20260622-1
lua-language-server 3.18.2-1.1
man-db 2.13.1-2.1
mpv 1:0.41.0-3.1
ncdu 2.9.2-1.1
neovim 0.12.4-1.1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
onlyoffice-bin 9.4.0-1
pacman-contrib 1.13.1-1.2
paru 2.1.0-3
pipewire 1:1.6.8-1.1
pipewire-alsa 1:1.6.8-1.1
pipewire-audio 1:1.6.8-1.1
pipewire-jack 1:1.6.8-1.1
pipewire-pulse 1:1.6.8-1.1
polkit-gnome 0.105-12.1
pyright 1.1.411-1
qt5-graphicaleffects 5.15.19-1.1
qt5-multimedia 5.15.19+kde+r2-1.1
qt5-quickcontrols2 5.15.19+kde+r5-1.1
qt5-wayland 5.15.19+kde+r55-1.1
qt6-multimedia 6.11.1-1.1
qt6-wayland 6.11.1-1.1
qtengine-git r28.g073987f-1
quickshell 0.3.0-2.1
reflector 2023-5
ripgrep 15.2.0-1
scx-scheds 1.1.2-1
scx-tools 1.1.2-1.1
sddm 0.21.0-8
slurp 1.5.0-2.1
smartmontools 7.5-1.1
thunar 4.20.9-1.1
thunar-archive-plugin 0.6.0-1.1
trash-cli 0.24.5.26-3
tree-sitter-cli 0.26.9-1.1
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-ms-fonts 2.0-12
tumbler 4.20.2-1.1
uwsm 0.26.6-1
vscodium 1.126.04524-1
vulkan-radeon 3:26.1.6-1
wget 1.25.0-6.1
wireplumber 0.5.15-1.1
wl-clipboard 1:2.3.0-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-desktop-portal-hyprland 1.4.1-1.1
xdg-user-dirs 0.20-1.1
xf86-video-amdgpu 25.0.0-1.1
yazi 26.5.6-4.1
zathura 2026.07.18-1.1
zathura-pdf-mupdf 2026.07.18-1.1
zoxide 0.10.0-1.1
zram-generator 1.2.1-1.1
